train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0.157894736842105,0.5,7,0,50,0,0.001,250,3,10,0.0143061516452074,4.53491880054377
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,0,250,3,10,0.0271816881258941,8.61634572103316
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,1e-05,250,3,10,0.0228898426323319,7.25587008087003
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,5e-05,250,3,10,0.0228898426323319,7.25587008087003
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,1e-04,250,3,10,0.0171673819742489,5.44190256065252
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,5e-04,250,3,10,0.0214592274678112,6.80237820081565
train_13,125,125,0.157894736842105,0.5,7,0,50,1e-05,0.001,250,3,10,0.0171673819742489,5.44190256065252
train_13,125,125,0.157894736842105,0.5,7,0,50,5e-05,0,250,3,10,0.0271816881258941,8.61634572103316
train_13,125,125,0.157894736842105,0.5,7,0,50,5e-05,1e-05,250,3,10,0.0243204577968527,7.70936196092441
train_13,125,125,0.157894736842105,0.5,7,0,50,5e-05,5e-05,250,3,10,0.0228898426323319,7.25587008087003
train_13,125,125,0.157894736842105,0.5,7,0,50,5e-05,1e-04,250,3,10,0.0171673819742489,5.44190256065252
train_13,125,125,0.157894736842105,0.5,7,0,50,5e-05,5e-04,250,3,10,0.0200286123032904,6.34888632076128
